Country,Happiness Score,Year
Malawi,3.97000002861023,2017
Chad,3.93600010871887,2017
Zimbabwe,3.875,2017
Lesotho,3.80800008773804,2017
Angola,3.79500007629395,2017
Afghanistan,3.79399991035461,2017
Botswana,3.76600003242493,2017
Benin,3.65700006484985,2017
Madagascar,3.64400005340576,2017
Haiti,3.6029999256134,2017
Yemen,3.59299993515015,2017
South Sudan,3.59100008010864,2017
Liberia,3.53299999237061,2017
Guinea,3.50699996948242,2017
Togo,3.49499988555908,2017
Rwanda,3.47099995613098,2017
Syria,3.46199989318848,2017
Tanzania,3.34899997711182,2017
Burundi,2.90499997138977,2017
Central African Republic,2.69300007820129,2017
Denmark,7.526,2016
Switzerland,7.509,2016
Iceland,7.501,2016
Norway,7.498,2016
Finland,7.413,2016
Canada,7.404,2016
Netherlands,7.339,2016
New Zealand,7.334,2016
Australia,7.313,2016
Sweden,7.291,2016
Israel,7.267,2016
Austria,7.119,2016
United States,7.104,2016
Costa Rica,7.087,2016
Puerto Rico,7.039,2016
Germany,6.994,2016
Brazil,6.952,2016
Belgium,6.929,2016
Ireland,6.907,2016
Luxembourg,6.871,2016
Mexico,6.778,2016
Singapore,6.739,2016
United Kingdom,6.725,2016
Chile,6.705,2016
Panama,6.701,2016
Argentina,6.65,2016
Czech Republic,6.596,2016
United Arab Emirates,6.573,2016
Uruguay,6.545,2016
Malta,6.488,2016
Colombia,6.481,2016
France,6.478,2016
Thailand,6.474,2016
Saudi Arabia,6.379,2016
Taiwan,6.379,2016
Qatar,6.375,2016
Spain,6.361,2016
Algeria,6.355,2016
Guatemala,6.324,2016
Suriname,6.269,2016
Kuwait,6.239,2016
Bahrain,6.218,2016
Trinidad and Tobago,6.168,2016
Venezuela,6.084,2016
Slovakia,6.078,2016
El Salvador,6.068,2016
Malaysia,6.005,2016
Nicaragua,5.992,2016
Uzbekistan,5.987,2016
Italy,5.977,2016
Ecuador,5.976,2016
Belize,5.956,2016
Japan,5.921,2016
Kazakhstan,5.919,2016
Moldova,5.897,2016
Russia,5.856,2016
Poland,5.835,2016
South Korea,5.835,2016
Bolivia,5.822,2016
Lithuania,5.813,2016
Belarus,5.802,2016
North Cyprus,5.771,2016
Slovenia,5.768,2016
Peru,5.743,2016
Turkmenistan,5.658,2016
Mauritius,5.648,2016
Libya,5.615,2016
Latvia,5.56,2016
Cyprus,5.546,2016
Paraguay,5.538,2016
Romania,5.528,2016
Estonia,5.517,2016
Jamaica,5.51,2016
Croatia,5.488,2016
Hong Kong,5.458,2016
Somalia,5.44,2016
Kosovo,5.401,2016
Turkey,5.389,2016
Indonesia,5.314,2016
Jordan,5.303,2016
Azerbaijan,5.291,2016
Philippines,5.279,2016
China,5.245,2016
Bhutan,5.196,2016
Kyrgyzstan,5.185,2016
Serbia,5.177,2016
Bosnia and Herzegovina,5.163,2016
Montenegro,5.161,2016
Dominican Republic,5.155,2016
Morocco,5.151,2016
Hungary,5.145,2016
Pakistan,5.132,2016
Lebanon,5.129,2016
Portugal,5.123,2016
Macedonia,5.121,2016
Vietnam,5.061,2016
Somaliland Region,5.057,2016
Tunisia,5.045,2016
Greece,5.033,2016
Tajikistan,4.996,2016
Mongolia,4.907,2016
Laos,4.876,2016
Nigeria,4.875,2016
Honduras,4.871,2016
Iran,4.813,2016
Zambia,4.795,2016
Nepal,4.793,2016
Palestinian Territories,4.754,2016
Albania,4.655,2016
Bangladesh,4.643,2016
Sierra Leone,4.635,2016
Iraq,4.575,2016
Namibia,4.574,2016
Cameroon,4.513,2016
Ethiopia,4.508,2016
South Africa,4.459,2016
Sri Lanka,4.415,2016
India,4.404,2016
Myanmar,4.395,2016
Egypt,4.362,2016
Armenia,4.36,2016
Kenya,4.356,2016
Ukraine,4.324,2016
Ghana,4.276,2016
Congo (Kinshasa),4.272,2016
Georgia,4.252,2016
Congo (Brazzaville),4.236,2016
Senegal,4.219,2016
Bulgaria,4.217,2016
Mauritania,4.201,2016
Zimbabwe,4.193,2016
Malawi,4.156,2016
Sudan,4.139,2016
Gabon,4.121,2016
Mali,4.073,2016
Haiti,4.028,2016
Botswana,3.974,2016
Comoros,3.956,2016
Ivory Coast,3.916,2016
Cambodia,3.907,2016
Angola,3.866,2016
Niger,3.856,2016
South Sudan,3.832,2016
Chad,3.763,2016
Burkina Faso,3.739,2016
Uganda,3.739,2016
Yemen,3.724,2016
Madagascar,3.695,2016
Tanzania,3.666,2016
Liberia,3.622,2016
Guinea,3.607,2016
Rwanda,3.515,2016
Benin,3.484,2016
Afghanistan,3.36,2016
Togo,3.303,2016
Syria,3.069,2016
Burundi,2.905,2016
Switzerland,7.587,2015
Iceland,7.561,2015
Denmark,7.527,2015
Norway,7.522,2015
Canada,7.427,2015
Finland,7.406,2015
Netherlands,7.378,2015
Sweden,7.364,2015
New Zealand,7.286,2015
Australia,7.284,2015
Israel,7.278,2015
Costa Rica,7.226,2015
Austria,7.2,2015
Mexico,7.187,2015
United States,7.119,2015
Brazil,6.983,2015
Luxembourg,6.946,2015
Ireland,6.94,2015
Belgium,6.937,2015
United Arab Emirates,6.901,2015
United Kingdom,6.867,2015
Oman,6.853,2015
Venezuela,6.81,2015
Singapore,6.798,2015
Panama,6.786,2015
Germany,6.75,2015
Chile,6.67,2015
Qatar,6.611,2015
France,6.575,2015
Argentina,6.574,2015
Czech Republic,6.505,2015
Uruguay,6.485,2015
Colombia,6.477,2015
Thailand,6.455,2015
Saudi Arabia,6.411,2015
Spain,6.329,2015
Malta,6.302,2015
Taiwan,6.298,2015
Kuwait,6.295,2015
Suriname,6.269,2015
Trinidad and Tobago,6.168,2015
El Salvador,6.13,2015
Guatemala,6.123,2015
Uzbekistan,6.003,2015
Slovakia,5.995,2015
Japan,5.987,2015
South Korea,5.984,2015
Ecuador,5.975,2015
Bahrain,5.96,2015
Italy,5.948,2015
Bolivia,5.89,2015
Moldova,5.889,2015
Paraguay,5.878,2015
Kazakhstan,5.855,2015
Slovenia,5.848,2015
Lithuania,5.833,2015
Nicaragua,5.828,2015
Peru,5.824,2015
Belarus,5.813,2015
Poland,5.791,2015
Malaysia,5.77,2015
Croatia,5.759,2015
Libya,5.754,2015
Russia,5.716,2015
Jamaica,5.709,2015
North Cyprus,5.695,2015
Cyprus,5.689,2015
Algeria,5.605,2015
Kosovo,5.589,2015
Turkmenistan,5.548,2015
Mauritius,5.477,2015
Hong Kong,5.474,2015
Estonia,5.429,2015
Indonesia,5.399,2015
Vietnam,5.36,2015
Turkey,5.332,2015
Kyrgyzstan,5.286,2015
Nigeria,5.268,2015
Bhutan,5.253,2015
Azerbaijan,5.212,2015
Pakistan,5.194,2015
Jordan,5.192,2015
Montenegro,5.192,2015
China,5.14,2015
Zambia,5.129,2015
Romania,5.124,2015
Serbia,5.123,2015
Portugal,5.102,2015
Latvia,5.098,2015
Philippines,5.073,2015
Somaliland region,5.057,2015
Morocco,5.013,2015
Macedonia,5.007,2015
Mozambique,4.971,2015
Albania,4.959,2015
Bosnia and Herzegovina,4.949,2015
Lesotho,4.898,2015
Dominican Republic,4.885,2015
Laos,4.876,2015
Mongolia,4.874,2015
Swaziland,4.867,2015
Greece,4.857,2015
Lebanon,4.839,2015
Hungary,4.8,2015
Honduras,4.788,2015
Tajikistan,4.786,2015
Tunisia,4.739,2015
Palestinian Territories,4.715,2015
Bangladesh,4.694,2015
Iran,4.686,2015
Ukraine,4.681,2015
Iraq,4.677,2015
South Africa,4.642,2015
Ghana,4.633,2015
Zimbabwe,4.61,2015
Liberia,4.571,2015
India,4.565,2015
Sudan,4.55,2015
Haiti,4.518,2015
Congo (Kinshasa),4.517,2015
Nepal,4.514,2015
Ethiopia,4.512,2015
Sierra Leone,4.507,2015
Mauritania,4.436,2015
Kenya,4.419,2015
Djibouti,4.369,2015
Armenia,4.35,2015
Botswana,4.332,2015
Myanmar,4.307,2015
Georgia,4.297,2015
Malawi,4.292,2015
Sri Lanka,4.271,2015
Cameroon,4.252,2015
Bulgaria,4.218,2015
Egypt,4.194,2015
Yemen,4.077,2015
Angola,4.033,2015
Mali,3.995,2015
Congo (Brazzaville),3.989,2015
Comoros,3.956,2015
Uganda,3.931,2015
Senegal,3.904,2015
Gabon,3.896,2015
Niger,3.845,2015
Cambodia,3.819,2015
Tanzania,3.781,2015
Madagascar,3.681,2015
Central African Republic,3.678,2015
Chad,3.667,2015
Guinea,3.656,2015
Ivory Coast,3.655,2015
Burkina Faso,3.587,2015
Afghanistan,3.575,2015
Rwanda,3.465,2015
Benin,3.34,2015
Syria,3.006,2015
Burundi,2.905,2015
Togo,2.839,2015
